Time,Force_X_post,Force_Y_post,Force_Z_post
806.8,34.8942235693751,4.081081030040807,-1000.6869997244881
806.9,34.874416465131986,4.0770173954848055,-1000.7398042802497
807.0,34.85528285062726,4.073005784100834,-1000.7929473934634
807.1,34.83677791646093,4.06908244725023,-1000.8467145513607
807.2,34.81886855688863,4.0652673400264705,-1000.9010085821683
807.3,34.80152945051673,4.061564868962184,-1000.9557608993568
807.4,34.784761220904414,4.057966664989614,-1001.0110420787431
807.5,34.76858611251407,4.054455115442641,-1001.0669737290594
807.6,34.75302468027996,4.0510070957143105,-1001.1236712768504
807.7,34.73809746959866,4.047597724584865,-1001.1811675036244
807.8,34.72384857827142,4.044203810425943,-1001.2393924896787
807.9,34.710326736851776,4.040806715496104,-1001.2984138673709
808.0,34.697554168933124,4.037394707671407,-1001.3585274630525
808.1,34.685532078432104,4.033964364776386,-1001.4199132137202
808.2,34.67424877605096,4.030520575592027,-1001.4824958662502
808.3,34.66368806192663,4.0270757963804185,-1001.5461726184525
808.4,34.65383435781289,4.0236490919461145,-1001.6109401772634
808.5,34.644659341265886,4.020264765404763,-1001.6768697652082
808.6,34.636128809594375,4.016950625184239,-1001.7440655532096
808.7,34.62823274871264,4.013736132080085,-1001.812673032819
808.8,34.62096164096381,4.010650619027878,-1001.8828998742621
808.9,34.614273809572076,4.007721808516228,-1001.9548669135996
809.0,34.60812211093649,4.004974526677489,-1002.0284888819821
809.1,34.60248035966834,4.002429803459957,-1002.1036929845999
809.2,34.597330892340516,4.000104888708569,-1002.1806134258544
809.3,34.592659200638735,3.9980138253088575,-1002.2594693776199
809.4,34.58847401049951,3.996167968289272,-1002.3404178505874
809.5,34.58478398658207,3.9945765056241895,-1002.4235477987352
809.6,34.581573791877005,3.9932472265656207,-1002.50891683243
809.7,34.57883092762171,3.99218748947417,-1002.596572557486
809.8,34.576553198919264,3.9914051383057187,-1002.6865643846406
809.9,34.5747280356594,3.9909092549178715,-1002.7789454667703
810.0,34.57334037809897,3.9907107651131493,-1002.8737620622004
810.1,34.57240081509704,3.990822831958595,-1002.9710524317851
810.2,34.571918543662974,3.9912609440748623,-1003.0708599551087
810.3,34.57187388464986,3.9920428208945204,-1003.1732368936086
810.4,34.57224481386617,3.9931882197667674,-1003.2782372163948
810.5,34.573016123442564,3.9947185774185963,-1003.3859139648534
810.6,34.5741711070451,3.9966565478302902,-1003.4963202625952
810.7,34.575692928290955,3.9990255262205534,-1003.6095113152478
810.8,34.57755660514188,4.001849184012419,-1003.7255526257674
810.9,34.57973628877186,4.005151106234597,-1003.8445132847047
811.0,34.58223175185012,4.008954525314557,-1003.9664343699126
811.1,33.79626073978451,4.548933901745653,-1008.6419254932296
811.2,33.89634201500939,4.484122763337615,-1008.4884452199482
811.275,35.23859590657279,3.576262428835702,-1001.0722066910776
811.375,35.36756869825892,3.4999200342511343,-1000.2586330294374
811.475,34.595829789584975,4.036290378090014,-1004.6358258312832
811.575,34.59985969476524,4.0435561863458735,-1004.7768520563995
811.675,34.60412720721337,4.051470862021704,-1004.9211006298319
811.775,34.60862261405899,4.060054836462332,-1005.0687443007316
811.875,34.61333993873544,4.069329049241042,-1005.220123989968
811.975,34.61827672038532,4.079315361863106,-1005.3752790411951
812.075,34.62340877403837,4.090035917355507,-1005.533612940063
812.175,34.628713955802084,4.101512441474095,-1005.6946120638626
812.275,34.63420637316732,4.113767195755386,-1005.8584239814961
812.375,34.63990204014174,4.1268240914483725,-1006.025463969567
812.475,34.64578498049869,4.140708384364625,-1006.195975746076
812.575,34.65182919344269,4.155445913167745,-1006.3700097351267
812.675,34.65803680865518,4.171062684780582,-1006.5475297173302
812.775,34.66441822121242,4.187584609572244,-1006.7285504666434
812.875,34.67096566948092,4.205037492699598,-1006.913265035926
812.975,34.67766175005261,4.2234472614666885,-1007.1018139705727
813.075,34.684477085684065,4.242839500959375,-1007.293844033598
813.175,34.691392491992794,4.263238604029454,-1007.4887750326637
813.275,34.6984241104019,4.284668192065048,-1007.6864965234753
813.375,34.70558849156273,4.307152269193473,-1007.8873286646595
813.475,34.71288391793685,4.330715466949542,-1008.0915322303501
813.575,34.720322041871164,4.355382583635989,-1008.299161529639
813.675,34.72791393441968,4.381178196237551,-1008.5101624511406
813.775,34.735648641566584,4.408126551828019,-1008.7244553400984
813.875,34.743517221779804,4.436251639180428,-1008.9419089781371
813.975,34.7515208756683,4.465577199985397,-1009.162329031824
814.075,34.75966289584743,4.496126766327098,-1009.385704851407
814.175,34.76795405056166,4.527923966063606,-1009.6122824492081
814.275,34.77641877260296,4.560992627077347,-1009.8421694068047
814.375,34.785070487466314,4.595356261991519,-1010.0751841911793
814.475,35.10591644840397,4.631164159828841,-1010.2920728924297
814.575,36.16465905453633,4.669864727833274,-1008.3828226897932
814.675,37.11883672877003,4.711557912692078,-998.2393635089107
814.775,36.635035270122906,4.745989692275122,-977.0384113482347
814.875,35.33094976101688,4.757428148524855,-952.8424863133532
814.975,34.6842590077978,4.745499326796853,-936.3242544282322
815.075,34.86054817430946,4.727441119304986,-930.0016619715055
815.175,35.27445329226842,4.7202908523812095,-930.0555290558639
